period,subperiod,secondsLeft,subject,population,match,matchID,strategy0,target0,payoff,percentChangePerSecond,name,min,max,subperiods,playersInGroup,length
1,0,13,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,13,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,12,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,4,1,1,0,0.49809796,0.49809796,109.69308,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,3,1,1,0,0.66932863,0.66932863,166.51468,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,2,1,1,0,0.026112914,0.026112914,29.395235,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
1,0,11,1,1,1,0,0.12086326,0.12086326,94.39701,NaN,practic_1,NaN,NaN,0.0,4.0,30.0
